Creator Name,slug,Creator Channel,Link Primary,Platform Primary,Platform 2 Name,Platform 2 Link,Platform 3 Name,Platform 3 Link,Platform 4 Name,Platform 4 Link,Topic/Category,Geography,Groups,Geo City,Geo State,Geo Country,Geo Region,Partner Lists
A.B. Burns-Tucker,ab-burns-tucker,I am legally hype,https://www.instagram.com/iamlegallyhype,Video - Instagram,Video - TikTok,https://www.tiktok.com/@iamlegallyhype,,,,,"Law/Legal Issues, Politics","Los Angeles, CA",Power & Politics,Los Angeles,CA,US,West,
A.C. Valdez,ac-valdez,A.C. Valdez,https://acvaldez.com,Website,,,,,,,General News,"Washington, DC",General News,Washington,DC,US,Mid-Atlantic,
A.J. Katz,aj-katz,Anchor,https://substack.com/@anchortvnews,Newsletter - Substack,,,,,,,Media/Power,"New York, NY",Culture & Media,New York,NY,US,Northeast,
Aaron Carroll,aaron-carroll,Healthcare Triage,https://www.youtube.com/@healthcaretriage,Video - YouTube,,,,,,,"Health/Wellness, Science",Indiana - US,Science Health & Environment,,IN,US,Midwest,
Aaron Gleeman,aaron-gleeman,AaronGleeman.com -- Minnesota Twins coverage,https://www.aarongleeman.com/,Newsletter - Ghost,,,,,,,Media/Power,"Minneapolis, MN",Culture & Media,Minneapolis,MN,US,Midwest,
Aaron Good,aaron-good,American Exception,https://americanexception.com/podcast,Podcast,Patreon,,,,,,"National Security, Politics",Pennsylvania - US,Power & Politics,,PA,US,Northeast,
Aaron Parnas,aaron-parnas,Aaron Parnas,https://www.tiktok.com/@aaronparnas1,Video - TikTok,Newsletter - Substack,https://aaronparnas.substack.com/,,,,,Politics,"Washington, DC",Power & Politics,Washington,DC,US,Mid-Atlantic,
Aaron Rupar,aaron-rupar,Public Notice,https://www.publicnotice.co,Newsletter - Substack,Social - Twitter / X,https://x.com/atrupar,Social - BlueSky,https://bsky.app/profile/atrupar.com,,,Politics,"Washington, DC",Power & Politics,Washington,DC,US,Mid-Atlantic,
Aarron Walter,aarron-walter,Design Better,https://designbetterpodcast.com,Podcast,Newsletter - Substack,,,,,,Design,"Athens, GA",Culture & Media,Athens,GA,US,South,
Abbie Halberstadt,abbie-halberstadt,,https://misformama.net,Website,Social - Instagram,https://www.instagram.com/m.is.for.mama/,Podcast,https://podcasts.apple.com/us/podcast/m-is-for-mama-podcast/id1664528555,Social - Facebook,,Parenting,,Lifestyle & Personal Life,,,,,
Abbie Richards,abbie-richards,Tofology,https://www.tiktok.com/@tofology,Video - TikTok,,,,,,,Investigative,National - US,Journalism Formats,,,US,National,
Abby Alten Schwartz,abby-alten-schwartz,Abby Alten Schwartz,https://abbyaltenschwartz.substack.com/,Newsletter - Substack,,,,,,,"Health/Wellness, Culture","Philadelphia, PA","Science Health & Environment, Culture & Media",Philadelphia,PA,US,Northeast,Institute_for_Independent_Journalists
Abby Martin,abby-martin,Empire Files,https://www.youtube.com/@empirefiles,Video - YouTube,Social - Twitter / X,https://x.com/AbbyMartin,,,,,"Investigative, Politics, World",National - US,"Power & Politics, General News, Journalism Formats",,,US,National,
Abigail Koffler,abigail-koffler,This Needs Hot Sauce,https://thisneedshotsauce.substack.com/,Newsletter - Substack,,,,,,,Culture,"Brooklyn, NY",Culture & Media,Brooklyn,NY,US,Northeast,
Abigail Wilson Geiger,abigail-wilson-geiger,Abigail Wilson Geiger,https://abigailgeiger.com,Website,Video - Noosphere,https://www.noosphere.app/author/abigail/,,,,,"Investigative, Data Visualization, Photography",National - US,Power & Politics,,,US,National,
Abiola Agoro,abiola-agoro,,https://www.instagram.com/ahbeeolah,Social - Instagram,,,,,,,Identity/Belonging,Texas - US,Social Issues,,TX,US,South,
Ac2ality,ac2ality,Ac2ality,https://www.tiktok.com/@ac2ality,Video - TikTok,Social - Instagram,https://www.instagram.com/ac2ality,Video - YouTube,https://www.youtube.com/@ac2ality,,,"General News, Explanatory",Spain,"General News, Journalism Formats",,,ES,International,
Ada,ada,Ada,https://www.instagram.com/travelsbyada/,Social - Instagram,Video - TikTok,https://www.tiktok.com/@travelsbyada,Video - YouTube,https://www.youtube.com/@travelsbyada,,,Travel,"Washington, DC",Lifestyle & Personal Life,Washington,DC,US,Mid-Atlantic,
Ada Tseng,ada-tseng,Ada Tseng,https://adatseng.com,Website,,,,,,,"Identity/Belonging, Culture, Food","Los Angeles, CA","Social Issues, Culture & Media, Lifestyle & Personal Life",Los Angeles,CA,US,West,
Adam Bienkov,adam-bienkov,Folded,https://adambienkov.substack.com,Newsletter - Substack,,,,,,,Politics,"London, UK",Power & Politics,London,,UK,International,
Adam Cole,adam-cole,Howtown,https://www.youtube.com/@Howtown,Video - YouTube,,,,,,,Explanatory,National - US,Journalism Formats,,,US,National,
Adam Johnson,adam-johnson,Citations Needed,https://podcasts.apple.com/us/podcast/citations-needed/id1258545975,Podcast,,,,,,,"Media/Power, Politics",National - US,"Power & Politics, Culture & Media",,,US,National,
Adam Klasfeld,adam-klasfeld,All Rise News,https://allrisenews.com,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/klasfeldreports.com,,,,,Law/Legal Issues,"New York, NY",Power & Politics,New York,NY,US,Northeast,
Adam Kucharski,adam-kucharski,Understanding the Unseen,https://kucharski.substack.com,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/adamjkucharski.bsky.social,,,,,"Health/Wellness, Science",United Kingdom,Science Health & Environment,,,GB,International,
Adam Mastroianni,adam-mastroianni,Experimental History,https://www.experimental-history.com,Newsletter - Substack,,,,,,,Science,Ohio - US,Science Health & Environment,,OH,US,Midwest,
Adam Mockler,adam-mockler,Adam Mockler,https://www.youtube.com/@adammockler,Video - YouTube,Social - BlueSky,https://bsky.app/profile/adammockler.com,,,,,Politics,"Chicago, IL",Power & Politics,Chicago,IL,US,Midwest,
Adam Roberts,adam-roberts,Amateur Gourmet,https://amateurgourmet.substack.com/,Newsletter - Substack,,,,,,,Food,"New York, NY",Lifestyle & Personal Life,New York,NY,US,Northeast,
Adam Schrader,adam-schrader,Urgent Matter,https://www.urgentmatter.press,Newsletter - Ghost,,,,,,,"Art, Culture, Museums","New York, NY",Culture & Media,New York,NY,US,Northeast,
Adam Tinworth,adam-tinworth,Coffee and Complexity,https://coffeeandcomplexity.com,Newsletter - Substack,,,,,,,"Media/Power, Tech","London, UK","Money & Work, Culture & Media",London,,UK,International,
Adam Tooze,adam-tooze,Chartbook,https://adamtooze.substack.com,Newsletter - Substack,Social - Twitter / X,https://x.com/adam_tooze,Social - BlueSky,https://bsky.app/profile/adamtooze.bsky.social,,,"Finance/Economics, World, Politics","New York, NY","Power & Politics, Money & Work, General News",New York,NY,US,Northeast,
Addison Del Mastro,addison-del-mastro,The Deleted Scenes,https://substack.com/@thedeletedscenes,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/ad-mastro.bsky.social,,,,,"Housing, Design",Virginia - US,"Civic Life, Culture & Media",,VA,US,South,
Addy Osmani,addy-osmani,Elevate,https://addyo.substack.com/,Newsletter - Substack,,,,,,,Tech,,Money & Work,,,,,
Adedayo Fashanu,adedayo-fashanu,TANTV,https://www.tantvnews.com,Website,Video - Instagram,https://www.instagram.com/tantvnews,Social - Twitter / X,https://x.com/tantvstudios,,,Travel,"Honolulu, HI",Lifestyle & Personal Life,Honolulu,HI,US,West,
Adeola Fayehun,adeola-fayehun,Keeping It Real with Adeola,https://www.youtube.com/@adeolafayehun,Video - YouTube,Social - Facebook,https://www.facebook.com/AdeolaFayehun,,,,,World,National - US,General News,,,US,National,
Adriana Goblirsch,adriana-goblirsch,Adriana Goblirsch,https://www.instagram.com/adriana.goblirsch,Video - Instagram,,,,,,,"Health/Wellness, Parenting, Activism",Minnesota - US,"Social Issues, Science Health & Environment, Lifestyle & Personal Life",,MN,US,Midwest,
Adrienne Gunn,adrienne-gunn,,https://adriennegunn.substack.com,Newsletter - Substack,Website,https://adriennegunn.com,,,,,Entertainment/Hollywood,,Culture & Media,,,,,
Adrienne Keene,adrienne-keene,All My Relations Podcast,https://www.allmyrelationspodcast.com,Podcast,Social - BlueSky,https://bsky.app/profile/nativeapprops.bsky.social,,,,,"Culture, Identity/Belonging","Seattle, WA","Social Issues, Culture & Media",Seattle,WA,US,West,
Adrienne Samuels-Gibbs,adrienne-samuels-gibbs,Adrienne Samuels-Gibbs,https://www.linkedin.com/in/adriennesamuelsgibbs,Social - LinkedIn,,,,,,,"Culture, Entertainment/Hollywood, Identity/Belonging","Chicago, IL","Social Issues, Culture & Media",Chicago,IL,US,Midwest,
Aella,aella,Knowingless,https://knowingless.com,Website,Social - Twitter / X,https://x.com/aella_girl,,,,,"Gender, Dating/Romance","San Francisco, CA","Social Issues, Lifestyle & Personal Life",San Francisco,CA,US,West,
Afeef Nessouli,afeef-nessouli,Afeef,https://www.instagram.com/afeefness,Video - Instagram,,,,,,,"World, Foreign Policy",Lebanon,"Power & Politics, General News",,,LB,International,
Afra Wang,afra-wang,Concurrent,https://afraw.substack.com/,Newsletter - Substack,,,,,,,Culture,,Culture & Media,,,,,
Ahmer Khan,ahmer-khan,Ahmer Khan,https://www.noosphere.app/author/ahmerkhan/,Video - Noosphere,Social - Instagram,https://www.instagram.com/ahmermkhan/,,,,,"Foreign Policy, Human Rights, Immigration",India,"Power & Politics, Social Issues",,,IN,International,
Aidan Hall,aidan-hall,Aidan Hall,https://www.youtube.com/@aidan_hall,Video - YouTube,,,Video - Instagram,https://www.instagram.com/aidanhallll,,,Explanatory,"Los Angeles, CA",Journalism Formats,Los Angeles,CA,US,West,
Aidan Walker,aidan-walker,,https://howtodothingswithmemes.substack.com,Newsletter - Substack,,,,,,,Internet Culture,,Culture & Media,,,,,
Aiden McCaig,aiden-mccaig,Lemonade Stand,https://www.youtube.com/@LemonadeStandPodcast,Video - YouTube,Podcast,https://podcasts.apple.com/ie/podcast/lemonade-stand/id1799868726,,,,,Business,National - US,Money & Work,,,US,National,
Aja Romano,aja-romano,Fansplaining,https://fansplaining.com,Website,Patreon,https://www.patreon.com/fansplaining,,,,,"Culture, Internet Culture",National - US,Culture & Media,,,US,National,
Akhil Reed Amar,akhil-reed-amar,Amarica's Constitution,https://akhilamar.com/podcast-2/,Podcast,Social - BlueSky,https://bsky.app/profile/akhilreedamar.bsky.social,,,,,Law/Legal Issues,"New Haven, CT",Power & Politics,New Haven,CT,US,Northeast,
Alan Sepinwall,alan-sepinwall,What's Alan Watching? -- TV criticism newsletter,https://www.whatsalanwatching.com/,Newsletter - Ghost,,,,,,,Entertainment/Hollywood,"Scotch Plains, NJ",Culture & Media,Scotch Plains,NJ,US,Northeast,
Alandya Warren,alandya-warren,Alandya Warren,https://www.tiktok.com/@ebonyarchival,Video - TikTok,,,,,,,History,North Carolina - US,Culture & Media,,NC,US,South,
Alastair Campbell,alastair-campbell,Rest Is Politics,https://www.youtube.com/@restispolitics,Video - YouTube,Social - BlueSky,https://bsky.app/profile/alastaircampbell2.bsky.social,,,,,"Politics, World",United Kingdom,"Power & Politics, General News",,,GB,International,
Albert Ting,albert-ting,pootie_ting,https://www.instagram.com/pootie_ting,Video - Instagram,,,,,,,Things to Do,"Washington, DC",Lifestyle & Personal Life,Washington,DC,US,Mid-Atlantic,
Alberto Cairo,alberto-cairo,Open Visualization Academy,https://openvisualizationacademy.beehiiv.com,Website,Social - BlueSky,https://bsky.app/profile/albertocairo.com,,,,,Data Visualization,"Miami, FL",Journalism Formats,Miami,FL,US,South,
Alberto Ucles and Tom Noll,artsy-fashion-peacocks,Artsy Fashion Peacocks,https://www.instagram.com/artsyfashionpeacocks/,Social - Instagram,,,,,,,Fashion,"Washington, DC",Lifestyle & Personal Life,Washington,DC,US,Mid-Atlantic,
Aleah & Seth,aleah-seth,Aleah & Seth,https://www.instagram.com/happilyeverexploring/,Social - Instagram,Video - TikTok,https://www.tiktok.com/@happilyeverexploring,Video - YouTube,https://www.youtube.com/@happilyeverexploring,,,Travel,"Washington, DC",Lifestyle & Personal Life,Washington,DC,US,Mid-Atlantic,
Alec Karakatsanis,alec-karakatsanis,Copaganda Newsletter,https://equalityalec.substack.com,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/equalityalec.bsky.social,,,,,Law/Legal Issues,"Washington, DC",Power & Politics,Washington,DC,US,Mid-Atlantic,
Alec Watson,alec-watson,Technology Connections,https://www.youtube.com/@TechnologyConnections,Video - YouTube,,,,,,,"Tech, Science",National - US,"Science Health & Environment, Money & Work",,,US,National,
Alessandra Davin,alessandra-davin,Alessandra Davin,https://www.instagram.com/tastesoftheunion/,Social - Instagram,Video - TikTok,https://www.tiktok.com/@tastesoftheunion,,,,,Restaurants and bars,"Washington, DC",Lifestyle & Personal Life,Washington,DC,US,Mid-Atlantic,
Alessandra Ram,alessandra-ram,Good Luck Media,https://www.goodluckmedia.co,Podcast,Social - BlueSky,https://bsky.app/profile/alessandraram.bsky.social,,,,,"Climate/Environment, Investigative",California - US,"Science Health & Environment, Journalism Formats",,CA,US,West,
Alex Dobrenko,alex-dobrenko,Both Are True,https://botharetrue.substack.com,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/alexd23.bsky.social,,,,,"Comedy, Parenting","Asheville, NC","Culture & Media, Lifestyle & Personal Life",Asheville,NC,US,South,
Alex Falcone,alex-falcone,Alex Falcone,https://www.instagram.com/alexfalcone,Video - Instagram,,,,,,,"Comedy, Explanatory, Climate/Environment","Los Angeles, CA","Science Health & Environment, Culture & Media, Journalism Formats",Los Angeles,CA,US,West,
Alex Goldman,alex-goldman,Hyperfixed,https://www.hyperfixedpod.com/,Podcast,Social - Twitter / X,https://x.com/agoldmund,Social - BlueSky,https://bsky.app/profile/agoldnerd.bsky.social,,,"Tech, Culture","New York, NY","Money & Work, Culture & Media",New York,NY,US,Northeast,
Alex González Ormerod,alex-gonzlez-ormerod,The Mexico Political Economist,www.mxpe.org,Social - LinkedIn,Social - BlueSky,https://bsky.app/profile/alexgonzor.bsky.social,,,,,"Local, World, Politics, Finance/Economics",Mexico,"Power & Politics, Civic Life, Money & Work, General News",,,MX,International,
Alex H,alex-h,A Map Nerd,https://www.tiktok.com/@map_nerd,Video - TikTok,Video - YouTube,https://www.youtube.com/@MapNerdYT/shorts,,,,,World,"Los Angeles, CA",General News,Los Angeles,CA,US,West,
