Creator Name,slug,Current Platform Primary,bsky_handle,bsky_url,confirmed,notes
Aaron Parnas,aaron-parnas,Video - TikTok,aaronparnas.substack.com.web.brid.gy,https://bsky.app/profile/aaronparnas.substack.com.web.brid.gy,YES,Providing you with the Gen Z perspective on all the issues in the news. Click to read The Parnas Per
Aaron Rupar,aaron-rupar,Newsletter - Substack,atrupar.com,https://bsky.app/profile/atrupar.com,YES,"Independent journalist, SnapStream brand ambassador, and publisher of the Public Notice newsletter h"
Adam Klasfeld,adam-klasfeld,Newsletter - Substack,klasfeldreports.com,https://bsky.app/profile/klasfeldreports.com,YES,"Editor in chief of @allrisenews.com. Fearless journalism about the law, your rights, and your powers"
Adam Kucharski,adam-kucharski,Newsletter - Substack,adamjkucharski.bsky.social,https://bsky.app/profile/adamjkucharski.bsky.social,YES,Epidemiologist/mathematician. Professor at London School of Hygiene & Tropical Medicine. Author of T
Adam Mockler,adam-mockler,Video - YouTube,adammockler.com,https://bsky.app/profile/adammockler.com,YES,"22 | 1.8M+ on YouTube | @MeidasTouch.com

Join me now on Substack for more content at AdamMockler.co"
Adam Tooze,adam-tooze,Newsletter - Substack,adamtooze.bsky.social,https://bsky.app/profile/adamtooze.bsky.social,YES,"Chartbook Substack https://adamtooze.substack.com/
OnesandTooze podcast https://foreignpolicy.com/po"
Adrienne Keene,adrienne-keene,Podcast,nativeapprops.bsky.social,https://bsky.app/profile/nativeapprops.bsky.social,YES,ᏥᏣᎳᎩ. Cherokee Nation citizen. Writer/scholar. Tulsa Artist Fellow. Author of Native Appropriations 
Alastair Campbell,alastair-campbell,Video - YouTube,alastaircampbell2.bsky.social,https://bsky.app/profile/alastaircampbell2.bsky.social,YES,"Writer, strategist, co-presenter the U.K. No1 podcast The Rest Is Politics … love Britain hate Brexi"
Alberto Cairo,alberto-cairo,Website,albertocairo.com,https://bsky.app/profile/albertocairo.com,YES,"Designer, journalist, and professor.
Author of 'The Art of Insight' (2023) 'How Charts Lie' (2019), "
Alec Karakatsanis,alec-karakatsanis,Newsletter - Substack,equalityalec.bsky.social,https://bsky.app/profile/equalityalec.bsky.social,YES,"founder, Civil Rights Corps

civil rights lawyer
author of usual cruelty (2019) and 
copaganda (2025"
Alessandra Ram,alessandra-ram,Podcast,alessandraram.bsky.social,https://bsky.app/profile/alessandraram.bsky.social,YES,"journalist 
ceo @goodluckmedia.bsky.social"
Alex Dobrenko,alex-dobrenko,Newsletter - Substack,alexd23.bsky.social,https://bsky.app/profile/alexd23.bsky.social,YES,"Sinner saint no shame. Writer comedian guy. 

head of creative at www.sublime.app

head of writing a"
Alex González Ormerod,alex-gonzlez-ormerod,Social - LinkedIn,alexgonzor.bsky.social,https://bsky.app/profile/alexgonzor.bsky.social,YES,"Editing The Mexico Political Economist—Mexican politics, policy, and markets for a global audience.
"
Alex Heath,alex-heath,Newsletter - Substack,alexeheath.com,https://bsky.app/profile/alexeheath.com,YES,"writing sources.news, co-hosting the Access podcast"
Alex Kantrowitz,alex-kantrowitz,Newsletter - Substack,kantrowitz.bsky.social,https://bsky.app/profile/kantrowitz.bsky.social,YES,"Hello Bluesky! I’m Alex Kantrowitz, host of Big Technology Podcast and author of Big Technology on S"
Alex Konrad,alex-konrad,Newsletter - Substack,alexrkonrad.bsky.social,https://bsky.app/profile/alexrkonrad.bsky.social,YES,"Founder and editor of @upstarts.bsky.social, a tech publication focused on the startup ecosystem. Pr"
Alex Steffen,alex-steffen,Newsletter - Substack,alexsteffen.bsky.social,https://bsky.app/profile/alexsteffen.bsky.social,YES,"Planetary foresight and personal climate strategies.

Courses: https://alexsteffen.thinkific.com/
Po"
Alexander C. Kaufman,alexander-c-kaufman,Newsletter - Substack,alexckaufman.bsky.social,https://bsky.app/profile/alexckaufman.bsky.social,YES,"Reporter. I write about energy, climate, and geopolitics. I'm especially into nuclear power, mineral"
Alexander Russo,alexander-russo,Newsletter - Substack,alexanderrusso.bsky.social,https://bsky.app/profile/alexanderrusso.bsky.social,YES,"Founder @thegrade_ and many other things. Author: Stray Dogs, Saints, and Savors. London-born, Chica"
Alicia Kennedy,alicia-kennedy,Newsletter - Substack,aliciadkennedy.bsky.social,https://bsky.app/profile/aliciadkennedy.bsky.social,YES,Confirmed from brief
Alissa Walker,alissa-walker,Newsletter - Ghost,awalkerinla.bsky.social,https://bsky.app/profile/awalkerinla.bsky.social,YES,I'm a writer and a walker in LA. Tracking the city's megaevent progress at Torched. Co-host LA Podca
Amanda Shendruk,amanda-shendruk,Newsletter - Ghost,ashendruk.com,https://bsky.app/profile/ashendruk.com,YES,"https://www.not-ship.com/

Explaining the world through data and design • Newsletter: Not-Ship •   F"
Anders Puck Nielsen,anders-puck-nielsen,Video - YouTube,anderspucknielsen.dk,https://bsky.app/profile/anderspucknielsen.dk,YES,"Military analyst, naval officer, based in Denmark, mostly #Russia and the war in #Ukraine.

YouTube:"
Andrew Dessler,andrew-dessler,Newsletter - Substack,andrewdessler.com,https://bsky.app/profile/andrewdessler.com,YES,Prof of Atmospheric Sciences & climate scientist @ Texas A&M; AGU and AAAS Fellow; Native Texan; fin
Andrew Gelman,andrew-gelman,Newsletter - Substack,statmodeling.bsky.social,https://bsky.app/profile/statmodeling.bsky.social,YES,"Automatically tweets new posts from http://statmodeling.stat.columbia.edu
Please respond in the comm"
Andrew Gill,andrew-gill,Podcast,andrewgill.biz,https://bsky.app/profile/andrewgill.biz,YES,Podcaster: Rock That Doesn’t Roll w/ @drleahpayne.bsky.social and @SoundOpinions.bsky.social with @j
Andrew Janjigian,andrew-janjigian,Newsletter - Ghost,wordloaf.org,https://bsky.app/profile/wordloaf.org,YES,"bread-pilled

he/him

writing 'Breaducation: The Science and Practice of Bread Baking,' for Ten Spee"
