Creator Name,Creator Channel,Link Primary,Platform Primary,Platform Secondary,Origin List,Topic/Category,Geography,Groups,New Tags,Special Lists,Notes
Cleo Abram,Huge If True,https://www.youtube.com/cleoabram,Video - YouTube,,Project C Top Fifty,Tech,National - US,Money & Work,,,
Emily Atkin,Heated,https://heated.world/,Newsletter - Substack,,Project C Top Fifty,Climate/Environment,International,"Science, Health & Environment",,,
Ryan Broderick,Garbage Day,https://www.garbageday.email/,Newsletter - Beehiiv,,Project C Top Fifty,Internet Culture,National - US,Culture & Media,,,
Matt Brown,Extra Points,https://www.extrapointsmb.com/,Newsletter - Beehiiv,,Project C Top Fifty,Sports,National - US,Lifestyle & Personal Life,,,
Marques Brownlee,MKBHD,https://www.youtube.com/user/marquesbrownlee,Video - YouTube,,Project C Top Fifty,Tech,"New York, NY",Money & Work,,,
Chris Cillizza,So What,https://chriscillizza.substack.com/,Newsletter - Substack,,Project C Top Fifty,Politics,National - US,Power & Politics,,,
Oliver Darcy,Status,https://www.status.news/,Newsletter - Beehiiv,,Project C Top Fifty,Media/Power,National - US,Culture & Media,,,
Andy Dehnart,Reality Blurred,https://www.realityblurred.com/realitytv/,Newsletter - Other,,Project C Top Fifty,Entertainment/Hollywood,National - US,Culture & Media,,,
Caitlin Dewey,Links I Would GChat You If We Were Friends,https://linksiwouldgchatyou.substack.com/,Newsletter - Substack,,Project C Top Fifty,Internet Culture,National - US,Culture & Media,,,
Phil Edwards,Phil Edwards,https://www.youtube.com/@PhilEdwardsInc,Video - YouTube,,Project C Top Fifty,Explanatory,National - US,Journalism Formats,,,
Sam Ellis,Search Party,https://www.youtube.com/@SearchParty,Video - YouTube,,Project C Top Fifty,Explanatory,"New York, NY",Journalism Formats,,,
Becca Farsace,Taking Tech Outside,https://www.youtube.com/BeccaFarsace,Video - YouTube,,Project C Top Fifty,Tech,National - US,Money & Work,,,
Joss Fong,Howtown,https://www.youtube.com/@Howtown,Video - YouTube,,Project C Top Fifty,Explanatory,National - US,Journalism Formats,,,
Adam Cole,Howtown,https://www.youtube.com/@Howtown,Video - YouTube,,Project C Top Fifty,Explanatory,National - US,Journalism Formats,,,
Chris Geidner,Law Dork,https://www.lawdork.com/,Newsletter - Substack,,Project C Top Fifty,Government Accountability,National - US,Power & Politics,,,
Kahlil Greene,Gen Z Historian,https://www.instagram.com/kahlil.greene/?hl=en,Video - Instagram,,Project C Top Fifty,Explanatory,National - US,Journalism Formats,,,
Hunter Harris,Hung Up,https://hunterharris.substack.com/,Newsletter - Substack,,Project C Top Fifty,Entertainment/Hollywood,"New York, NY",Culture & Media,,,
Johnny Harris,Johnny Harris,https://www.youtube.com/johnnyharris,Video - YouTube,,Project C Top Fifty,Explanatory,International,Journalism Formats,,,
Seamus Hughes,Court Watch,https://www.courtwatch.news/,Newsletter - Beehiiv,,Project C Top Fifty,Government Accountability,National - US,Power & Politics,,,
Katelyn Jetelina,Your Local Epidemiologist,https://yourlocalepidemiologist.substack.com/,Newsletter - Substack,,Project C Top Fifty,Health/Wellness,National - US,"Science, Health & Environment",,,
Marisa Kabas,The Handbasket,https://www.thehandbasket.co/,Newsletter - Beehiiv,,Project C Top Fifty,Government Accountability,National - US,Power & Politics,,,
Alex Kantrowitz,Big Technology,https://www.bigtechnology.com/,Newsletter - Substack,,Project C Top Fifty,Tech,National - US,Money & Work,,,
Alicia Kennedy,From the Desk of Alicia Kennedy,https://www.aliciakennedy.news/,Newsletter - Substack,,Project C Top Fifty,Culture,Puerto Rico - US,Culture & Media,,,
Matt Kiser,WTF Just Happened Today?,https://whatthefuckjusthappenedtoday.com/,Newsletter - Other,,Project C Top Fifty,Government Accountability,National - US,Power & Politics,,,
Judd Legum,Popular Info,https://popular.info/,Newsletter - Substack,,Project C Top Fifty,Government Accountability,National - US,Power & Politics,,,
Casey Lewis,After School,https://afterschool.substack.com/,Newsletter - Substack,,Project C Top Fifty,Internet Culture,National - US,Culture & Media,,,
Kate Lindsay,Embedded,https://embedded.substack.com/,Newsletter - Substack,,Project C Top Fifty,Internet Culture,National - US,Culture & Media,,,
Taylor Lorenz,UserMag,https://www.usermag.co/,Newsletter - Substack,,Project C Top Fifty,Internet Culture,National - US,Culture & Media,,,
Tim Mak,The Counteroffensive,https://www.counteroffensive.news/,Newsletter - Substack,,Project C Top Fifty,World,Ukraine,General News,,,
Parker Molloy,The Present Age,https://www.readtpa.com/,Newsletter - Substack,,Project C Top Fifty,Internet Culture,"Chicago, IL",Culture & Media,,,
