Creator Name,slug,Creator Channel,Link Primary,Platform Primary,Platform 2 Name,Platform 2 Link,Platform 3 Name,Platform 3 Link,Platform 4 Name,Platform 4 Link,Topic/Category,Geography,Groups,Geo City,Geo State,Geo Country,Geo Region
Adam Cole,adam-cole,Howtown,https://www.youtube.com/@Howtown,Video - YouTube,,,,,,,Explanatory,National - US,Journalism Formats,,,US,National
Alexios Mantzarlis,alexios-mantzarlis,Indicator,https://indicator.media,Newsletter - Beehiiv,,,,,,,Tech,"New York, NY",Money & Work,New York,NY,US,Northeast
Alicia Kennedy,alicia-kennedy,From the Desk of Alicia Kennedy,https://www.aliciakennedy.news,Newsletter - Substack,,,,,,,Culture,Puerto Rico - US,Culture & Media,,Puerto Rico,US,
Andy Dehnart,andy-dehnart,Reality Blurred,https://www.realityblurred.com/realitytv,Newsletter - Other,,,,,,,Entertainment/Hollywood,National - US,Culture & Media,,,US,National
Becca Farsace,becca-farsace,Taking Tech Outside,https://www.youtube.com/BeccaFarsace,Video - YouTube,,,,,,,Tech,National - US,Money & Work,,,US,National
Bryan M. Vance,bryan-m-vance,Stumptown Savings,https://stumptownsavings.com,Newsletter - Beehiiv,,,,,,,"Finance/Economics, Local News","Portland, OR","Civic Life, Money & Work",Portland,OR,US,West
Caitlin Dewey,caitlin-dewey,Links I Would GChat You If We Were Friends,https://linksiwouldgchatyou.substack.com,Newsletter - Substack,,,,,,,Internet Culture,National - US,Culture & Media,,,US,National
Casey Lewis,casey-lewis,After School,https://afterschool.substack.com,Newsletter - Substack,,,,,,,Internet Culture,National - US,Culture & Media,,,US,National
Casey Newton,casey-newton,Platformer,https://www.platformer.news,Newsletter - Ghost,,,,,,,Tech,National - US,Money & Work,,,US,National
Chris Cillizza,chris-cillizza,So What,https://chriscillizza.substack.com,Newsletter - Substack,,,,,,,Politics,"Washington, D.C.",Power & Politics,Washington,D.C.,,
Chris Geidner,chris-geidner,Law Dork,https://www.lawdork.com,Newsletter - Substack,,,,,,,Government Accountability,National - US,Power & Politics,,,US,National
Cleo Abram,cleo-abram,Huge If True,https://www.youtube.com/cleoabram,Video - YouTube,,,,,,,Tech,National - US,Money & Work,,,US,National
Craig Silverman,craig-silverman,Indicator,https://indicator.media,Newsletter - Beehiiv,,,,,,,Tech,Canada,Money & Work,,,Canada,International
Emily Atkin,emily-atkin,Heated,https://heated.world,Newsletter - Substack,,,,,,,Climate/Environment,International,"Science, Health & Environment",,,,International
Emily Sundberg,emily-sundberg,Feed Me,https://www.readfeedme.com,Newsletter - Substack,,,,,,,Culture,"New York, NY",Culture & Media,New York,NY,US,Northeast
Eric Newcomer,eric-newcomer,Newcomer,https://www.newcomer.co,Newsletter - Substack,,,,,,,Tech,"New York, NY",Money & Work,New York,NY,US,Northeast
Erin Reed,erin-reed,Erin In the Morning,https://www.erininthemorning.com,Newsletter - Substack,,,,,,,LGBTQIA,National - US,Social Issues,,,US,National
Hunter Harris,hunter-harris,Hung Up,https://hunterharris.substack.com,Newsletter - Substack,,,,,,,Entertainment/Hollywood,"New York, NY",Culture & Media,New York,NY,US,Northeast
Isaac Saul,isaac-saul,Tangle News,https://www.readtangle.com,Newsletter - Ghost,,,,,,,Politics,"Philadelphia, PA",Power & Politics,Philadelphia,PA,US,Northeast
Jessica Valenti,jessica-valenti,Abortion Every Day,https://jessica.substack.com,Newsletter - Substack,,,,,,,Government Accountability,"New York, NY",Power & Politics,New York,NY,US,Northeast
Johnny Harris,johnny-harris,Johnny Harris,https://www.youtube.com/johnnyharris,Video - YouTube,,,,,,,Explanatory,International,Journalism Formats,,,,International
Joss Fong,joss-fong,Howtown,https://www.youtube.com/@Howtown,Video - YouTube,,,,,,,Explanatory,National - US,Journalism Formats,,,US,National
Judd Legum,judd-legum,Popular Info,https://popular.info,Newsletter - Substack,,,,,,,Government Accountability,National - US,Power & Politics,,,US,National
Kahlil Greene,kahlil-greene,Gen Z Historian,https://www.instagram.com/kahlil.greene,Video - Instagram,,,,,,,Explanatory,National - US,Journalism Formats,,,US,National
Kat Tenbarge,kat-tenbarge,Spitfire News,https://spitfirenews.com,Social - BlueSky,,,,,,,Internet Culture,National - US,Culture & Media,,,US,National
Katelyn Jetelina,katelyn-jetelina,Your Local Epidemiologist,https://yourlocalepidemiologist.substack.com,Newsletter - Substack,,,,,,,Health/Wellness,National - US,"Science, Health & Environment",,,US,National
Kyla Scanlon,kyla-scanlon,In This Economy?,https://www.instagram.com/kylascan,Video - TikTok,,,,,,,Finance/Economics,National - US,Money & Work,,,US,National
Kyle Tharp,kyle-tharp,Chaotic Era,https://www.chaoticera.news,Newsletter - Beehiiv,,,,,,,Government Accountability,National - US,Power & Politics,,,US,National
Lisa Remillard,lisa-remillard,The News Girl,https://www.tiktok.com/@lisaremillard,Video - TikTok,,,,,,,Government Accountability,National - US,Power & Politics,,,US,National
Marisa Kabas,marisa-kabas,The Handbasket,https://www.thehandbasket.co,Newsletter - Beehiiv,,,,,,,Government Accountability,National - US,Power & Politics,,,US,National
Marques Brownlee,marques-brownlee,MKBHD,https://www.youtube.com/user/marquesbrownlee,Video - YouTube,,,,,,,Tech,"New York, NY",Money & Work,New York,NY,US,Northeast
Matt Brown,matt-brown,Extra Points,https://www.extrapointsmb.com,Newsletter - Beehiiv,,,,,,,Sports,"Chicago, IL",Lifestyle & Personal Life,Chicago,IL,US,Midwest
Matt Kiser,matt-kiser,WTF Just Happened Today?,https://whatthefuckjusthappenedtoday.com,Newsletter - Other,,,,,,,Government Accountability,National - US,Power & Politics,,,US,National
Max Read,max-read,Read Max,https://maxread.substack.com,Newsletter - Substack,,,,,,,Internet Culture,"New York, NY",Culture & Media,New York,NY,US,Northeast
Mosheh Oinounou,mosheh-oinounou,Mo News,https://www.mo.news,Video - Instagram,,,,,,,General News,"New York, NY",General News,New York,NY,US,Northeast
Nathan Tankus,nathan-tankus,Notes on the Crisis,https://www.crisesnotes.com,Newsletter - Ghost,,,,,,,Government Accountability,"New York, NY",Power & Politics,New York,NY,US,Northeast
Oliver Darcy,oliver-darcy,Status,https://www.status.news,Newsletter - Beehiiv,,,,,,,Media/Power,National - US,Culture & Media,,,US,National
Parker Molloy,parker-molloy,The Present Age,https://www.readtpa.com,Newsletter - Substack,,,,,,,Internet Culture,"Chicago, IL",Culture & Media,Chicago,IL,US,Midwest
Phil Edwards,phil-edwards,Phil Edwards,https://www.youtube.com/@PhilEdwardsInc,Video - YouTube,,,,,,,Explanatory,National - US,Journalism Formats,,,US,National
Ryan Broderick,ryan-broderick,Garbage Day,https://www.garbageday.email,Newsletter - Beehiiv,,,,,,,Internet Culture,National - US,Culture & Media,,,US,National
Sam Ellis,sam-ellis,Search Party,https://www.youtube.com/@SearchParty,Video - YouTube,,,,,,,Explanatory,"New York, NY",Journalism Formats,New York,NY,US,Northeast
Sandie S.,sandie-s,A Dork and Her Fork,https://www.instagram.com/adorkandherfork,Video - Instagram,Video - TikTok,,,,,,"Food, Travel","Washington, D.C.",Lifestyle & Personal Life,Washington,D.C.,,
Taylor Lorenz,taylor-lorenz,UserMag,https://www.usermag.co,Newsletter - Substack,,,,,,,Internet Culture,National - US,Culture & Media,,,US,National
Tim Mak,tim-mak,The Counteroffensive,https://www.counteroffensive.news,Newsletter - Substack,,,,,,,World,Ukraine,General News,,,Ukraine,International
A.B. Burns-Tucker,ab-burns-tucker,I am legally hype,https://www.instagram.com/iamlegallyhype,Video - Instagram,Video - TikTok,https://www.tiktok.com/@iamlegallyhype,,,,,"Law/Legal Issues, Politics","Los Angeles, CA",Power & Politics,Los Angeles,CA,US,West
Aaron Carroll,aaron-carroll,Healthcare Triage,https://www.youtube.com/@healthcaretriage,Video - YouTube,,,,,,,"Health/Wellness, Science",Indiana - US,"Science, Health & Environment",,IN,US,Midwest
Aaron Parnas,aaron-parnas,Aaron Parnas,https://www.tiktok.com/@aaronparnas1,Video - TikTok,Newsletter - Substack,,,,,,Politics,"Washington, D.C.",Power & Politics,Washington,D.C.,,
Aaron Rupar,aaron-rupar,Public Notice,https://www.publicnotice.co,Newsletter - Substack,Social - Twitter / X,https://x.com/atrupar,,,,,Politics,"Washington, D.C.",Power & Politics,Washington,D.C.,,
Abbie Richards,abbie-richards,Tofology,https://www.tiktok.com/@tofology,Video - TikTok,,,,,,,Investigative,National - US,Journalism Formats,,,US,National
Abby Martin,abby-martin,Empire Files,https://www.youtube.com/empirefiles,Video - YouTube,Social - Twitter / X,,,,,,"Investigative, Politics, World",National - US,"Power & Politics, General News, Journalism Formats",,,US,National
Adam Johnson,adam-johnson,Citations Needed,https://podcasts.apple.com/us/podcast/citations-needed/id1258545975,Podcast,,,,,,,"Media/Power, Politics",National - US,"Power & Politics, Culture & Media",,,US,National
Adam Klasfeld,adam-klasfeld,All Rise News,https://allrisenews.com,Newsletter - Substack,,,,,,,Law/Legal Issues,"New York, NY",Power & Politics,New York,NY,US,Northeast
Adam Kucharski,adam-kucharski,Understanding the Unseen,https://kucharski.substack.com,Newsletter - Substack,,,,,,,"Health/Wellness, Science",United Kingdom,"Science, Health & Environment",,,United Kingdom,International
Adam Mastroianni,adam-mastroianni,Experimental History,https://www.experimental-history.com,Newsletter - Substack,,,,,,,Science,Ohio - US,"Science, Health & Environment",,OH,US,Midwest
Adam Mockler,adam-mockler,Adam Mockler,https://www.youtube.com/@adammockler,Video - YouTube,,,,,,,Politics,"Chicago, IL",Power & Politics,Chicago,IL,US,Midwest
Adam Schrader,adam-schrader,Urgent Matter,https://www.urgentmatter.press,Newsletter - Ghost,,,,,,,"Art, Culture, Museums","New York, NY",Culture & Media,New York,NY,US,Northeast
Adam Tooze,adam-tooze,Chartbook,https://adamtooze.substack.com,Newsletter - Substack,Social - Twitter / X,,,,,,"Finance/Economics, World, Politics","New York, NY","Power & Politics, Money & Work, General News",New York,NY,US,Northeast
Adriana Goblirsch,adriana-goblirsch,Adriana Goblirsch,https://www.instagram.com/adriana.goblirsch,Video - Instagram,,,,,,,"Health/Wellness, Motherhood, Parenting, Activism",Minnesota - US,"Social Issues, Science, Health & Environment, Lifestyle & Personal Life",,MN,US,Midwest
Adrienne Keene,adrienne-keene,All My Relations Podcast,https://www.allmyrelationspodcast.com,Podcast,,,,,,,"Culture, Identity/Belonging","Seatlle, WA","Social Issues, Culture & Media",Seatlle,WA,US,West
Adrienne Samuels-Gibbs,adrienne-samuels-gibbs,Adrienne Samuels-Gibbs,https://www.linkedin.com/in/adriennesamuelsgibbs,Social - LinkedIn,,,,,,,"Culture, Entertainment/Hollywood, Identity/Belonging","Chicago, IL","Social Issues, Culture & Media",Chicago,IL,US,Midwest
Aella,aella,Knowingless,https://knowingless.com,Website,Social - Twitter / X,https://x.com/aella_girl,,,,,"Gender, Dating/Romance","San Francisco, CA","Social Issues, Lifestyle & Personal Life",San Francisco,CA,US,West
Alandya Warren,alandya-warren,Alandya Warren,https://www.tiktok.com/@ebonyarchival,Video - TikTok,,,,,,,History,North Carolina - US,Culture & Media,,NC,US,South
Alastair Campbell,alastair-campbell,Rest Is Politics,https://www.youtube.com/@restispolitics,Video - YouTube,,,,,,,"Politics, World",United Kingdom,"Power & Politics, General News",,,United Kingdom,International
Albert Ting,albert-ting,pootie_ting,https://www.instagram.com/pootie_ting,Video - Instagram,,,,,,,Things to do,"Washington, D.C.",Lifestyle & Personal Life,Washington,D.C.,,
Alberto Cairo,alberto-cairo,Open Visualization Academy,https://openvisualizationacademy.beehiiv.com,Website,,,,,,,Data Visualization,"Miami, FL",Journalism Formats,Miami,FL,US,South
Alec Karakatsanis,alec-karakatsanis,Copaganda Newsletter,https://equalityalec.substack.com,Newsletter - Substack,,,,,,,Law/Legal Issues,"Washington, D.C.",Power & Politics,Washington,D.C.,,
Alec Watson,alec-watson,Technology Connections,https://www.youtube.com/@TechnologyConnections,Video - YouTube,,,,,,,"Tech, Science",National - US,"Science, Health & Environment, Money & Work",,,US,National
Alessandra Ram,alessandra-ram,Good Luck Media,https://www.goodluckmedia.co,Podcast,,,,,,,"Climate/Environment, Investigative",California - US,"Science, Health & Environment, Journalism Formats",,CA,US,West
Alex Dobrenko,alex-dobrenko,Both Are True,https://botharetrue.substack.com,Newsletter - Substack,,,,,,,"Comedy, Parenting","Asheville, NC","Culture & Media, Lifestyle & Personal Life",Asheville,NC,US,South
Alex Falcone,alex-falcone,Alex Falcone,https://www.instagram.com/alexfalcone,Video - Instagram,,,,,,,"Comedy, Explanatory, Climate/Environment","Los Angeles, CA","Science, Health & Environment, Culture & Media, Journalism Formats",Los Angeles,CA,US,West
Alex H,alex-h,A Map Nerd,https://www.tiktok.com/@map_nerd,Video - TikTok,Video - YouTube,https://www.youtube.com/@MapNerdYT/shorts,,,,,World,"Los Angeles, CA",General News,Los Angeles,CA,US,West
Alex Heath,alex-heath,Sources ,https://sources.news,Newsletter - Substack,Podcast,,,,,,"Tech, Internet Culture, Finance/Economics","Los Angeles, CA","Money & Work, Culture & Media",Los Angeles,CA,US,West
Alex Kantrowitz,alex-kantrowitz,Big Technology,https://www.bigtechnology.com,Newsletter - Substack,Podcast,,,,,,Tech,"New York, NY",Money & Work,New York,NY,US,Northeast
Alex Kellerman,alex-kellerman,The F*ckin' News,https://www.instagram.com/the4ckinnews,Video - Instagram,Video - TikTok,,,,,,"General News, Comedy",North Carolina - US,"General News, Culture & Media",,NC,US,South
Alex Konrad,alex-konrad,Upstarts Media,https://www.upstartsmedia.com,Newsletter - Substack,Social - LinkedIn,https://www.linkedin.com/in/alexrkonrad,,,,,Tech,"New York, NY",Money & Work,New York,NY,US,Northeast
Alex Schroeder,alex-schroeder,Devour DC,https://www.instagram.com/devourdc,Video - Instagram,,,,,,,Restaurants,"Washington, D.C.",Lifestyle & Personal Life,Washington,D.C.,,
Alex Steffen,alex-steffen,The Snap Forward,https://alexsteffen.substack.com,Newsletter - Substack,Social - LinkedIn,,,,,,Climate/Environment,"San Francisco, CA","Science, Health & Environment",San Francisco,CA,US,West
Alexander C. Kaufman,alexander-c-kaufman,FIELD NOTES,https://kaufman.substack.com,Newsletter - Substack,,,,,,,"Climate/Environment, Energy","New York, NY","Science, Health & Environment",New York,NY,US,Northeast
Alexander Russo,alexander-russo,The Grade ,https://alexanderrusso.substack.com,Newsletter - Substack,Social - Twitter / X,,,,,,"Education, Local News, Media/Power","New York, NY","Civic Life, Culture & Media",New York,NY,US,Northeast
Alexandra Fasulo,alexandra-fasulo,House Of Green,https://houseofgreen.substack.com,Newsletter - Substack,,,,,,,Climate/Environment,New York - US,"Science, Health & Environment",,New York,United States,Northeast
Alexandra Stewart,alexandra-stewart,Sassy Confetti,https://www.tiktok.com/@.sassyconfetti,Video - TikTok,,,,,,,"Things to do, Restaurants, Lifestyle, Food, Bars, Local News","Chicago, IL","Civic Life, Lifestyle & Personal Life",Chicago,IL,US,Midwest
Ali Slagle,ali-slagle,40 Ingredients Forever,https://alislagle.substack.com,Newsletter - Substack,Video - Instagram,,,,,,"Recipes, Food",National - US,Lifestyle & Personal Life,,,US,National
