name,rss_url,platform,error_reason
Kyle Tharp,https://www.chaoticera.news/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:94:8465: not well-formed (invalid token)
Alicia Kennedy,https://www.aliciakennedy.news/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:99:8465: not well-formed (invalid token)
Alexios Mantzarlis,https://indicator.media/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:94:8465: not well-formed (invalid token)
Craig Silverman,https://indicator.media/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:94:8465: not well-formed (invalid token)
Marisa Kabas,https://www.thehandbasket.co/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:114:918: not well-formed (invalid token)
Matt Brown,https://www.extrapointsmb.com/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:99:8465: not well-formed (invalid token)
Oliver Darcy,https://www.status.news/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:94:8465: not well-formed (invalid token)
Ryan Broderick,https://www.garbageday.email/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:94:8465: not well-formed (invalid token)
Allie Jones,https://www.gossiptime.news/feed,Newsletter - Substack,"PARSE_ERROR: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
Bryan M. Vance,https://stumptownsavings.com/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:353:8592: not well-formed (invalid token)
Alberto Cairo,https://openvisualizationacademy.beehiiv.com/feed,Website,PARSE_ERROR: <unknown>:60:31: not well-formed (invalid token)
Alissa Walker,https://www.torched.la/rss,Newsletter - Ghost,PARSE_ERROR: <unknown>:20:71: not well-formed (invalid token)
Alex Konrad,https://www.upstartsmedia.com/about/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:198:6: mismatched tag
Angus Hervey,fixthenews.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:14: not well-formed (invalid token)
Amanda Montei,https://amandamontei.substack.com/p/the-housemaid-is-so-bad-but-at-least/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:194:6: mismatched tag
Alisa Tang,https://alisadailydose.beehiiv.com/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:94:8465: not well-formed (invalid token)
Ambreen Ali,https://centraldesi.beehiiv.com/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:94:8465: not well-formed (invalid token)
Annie Koshy,https://substack.com/@brandingninja?r=9g26w&utm_medium=ios&utm_source=profile&shareImageVariant=image/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: not well-formed (invalid token)
Andrew Janjigian,https://newsletter.wordloaf.org/rss,Newsletter - Ghost,PARSE_ERROR: <unknown>:2:0: syntax error
Antonio Sánchez,https://noticiasnw.com/feed,Website,PARSE_ERROR: <unknown>:81:2: mismatched tag
Bill Nye,https://www.billnye.com/feed,Website,PARSE_ERROR: <unknown>:5:60: not well-formed (invalid token)
Baxstar Jonmarie Ferguson,https://well.beings.news/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:94:8465: not well-formed (invalid token)
Bryan Anderson,andersonalerts.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:27: not well-formed (invalid token)
Bryan Schott,www.utahpoliticalwatch.news/feed,Website,PARSE_ERROR: <unknown>:2:27: not well-formed (invalid token)
Brian Morrissey,https://www.therebooting.com/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:94:8465: not well-formed (invalid token)
Breanna Morello,https://breannamorello.beehiiv.com/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:94:8465: not well-formed (invalid token)
Brian Skinner,https://marinbuzz.com/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:94:8465: not well-formed (invalid token)
Brett Cooper,https://brettcooper.beehiiv.com/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:109:918: not well-formed (invalid token)
Charlotte Wilder,https://substack.com/@thewilderthings/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:190:6: mismatched tag
Charlotte Smith,https://cultureoflawfirm.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:30:133: not well-formed (invalid token)
Christine Platt,www.iamchristineplatt.com/feed,Website,PARSE_ERROR: <unknown>:2:25: not well-formed (invalid token)
Charlotte Wilder,https://www.sportsgossipshow.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Claire McNamara,www.ohmyrockness.com/feed,Website,PARSE_ERROR: <unknown>:2:20: not well-formed (invalid token)
Corey Hutchins,coloradomedia.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:26: not well-formed (invalid token)
