atlas_name	atlas_channel	atlas_platform	atlas_link	bsky_handle	bsky_followers	confirmed	notes
Aaron Parnas	Aaron Parnas	Video - TikTok	https://www.tiktok.com/@aaronparnas1	aaronparnas.substack.com.web.brid.gy	0	YES	Providing you with the Gen Z perspective on all the issues in the news. Click to read The Parnas Per
Aaron Rupar	Public Notice	Newsletter - Substack	https://www.publicnotice.co	atrupar.com	0	YES	Independent journalist, SnapStream brand ambassador, and publisher of the Public Notice newsletter h
Abbie Richards	Tofology	Video - TikTok	https://www.tiktok.com/@tofology	abbierichards.bsky.social	0	LIKELY	I research and create educational videos about misinformation, propaganda, fascism, and sometimes (u
Abby Martin	Empire Files	Video - YouTube	https://www.youtube.com/empirefiles	abbymartin0.bsky.social	0	LIKELY	Journalist #EmpireFiles Films: Gaza Fights For Freedom, Earth's Greatest Enemy abby@theempirefiles.t
Adam Cole	Howtown	Video - YouTube	https://www.youtube.com/@Howtown	adamcolekelly.bsky.social	0	LIKELY	
Adam Johnson	Citations Needed	Podcast	https://podcasts.apple.com/us/podcast/citations-needed/id1258545975	adamj.eu	0	LIKELY	"🐴 @djangoproject.com blogger and contributor
✍️ Author of three books on Django and Git
🍕 Django Lon"
Adam Klasfeld	All Rise News	Newsletter - Substack	https://allrisenews.com	klasfeldreports.com	0	YES	Editor in chief of @allrisenews.com. Fearless journalism about the law, your rights, and your powers
Adam Kucharski	Understanding the Unseen	Newsletter - Substack	https://kucharski.substack.com	adamjkucharski.bsky.social	0	YES	Epidemiologist/mathematician. Professor at London School of Hygiene & Tropical Medicine. Author of T
Adam Mastroianni	Experimental History	Newsletter - Substack	https://www.experimental-history.com	mastroianni.bsky.social	0	LIKELY	I do science and write about it
Adam Mockler	Adam Mockler	Video - YouTube	https://www.youtube.com/@adammockler	adammockler.com	0	YES	"22 | 1.8M+ on YouTube | @MeidasTouch.com

Join me now on Substack for more content at AdamMockler.co"
Adam Tooze	Chartbook	Newsletter - Substack	https://adamtooze.substack.com	adamtooze.bsky.social	0	YES	"Chartbook Substack https://adamtooze.substack.com/
OnesandTooze podcast https://foreignpolicy.com/po"
Adrienne Keene	All My Relations Podcast	Podcast	https://www.allmyrelationspodcast.com	nativeapprops.bsky.social	0	YES	ᏥᏣᎳᎩ. Cherokee Nation citizen. Writer/scholar. Tulsa Artist Fellow. Author of Native Appropriations 
Aella	Knowingless	Website	https://knowingless.com	aella.bsky.social	0	LIKELY	aella.substack.com, @aella_girl on X
Afeef Nessouli	Afeef	Video - Instagram	https://www.instagram.com/afeefness	afeefness.bsky.social	0	LIKELY	
Aidan Hall	Aidan Hall	Video - YouTube	http://youtube.com/@aidan_hall	aidanhallaudio.bsky.social	0	LIKELY	"Sound Designer @Coatsink, Audio Engineer, IG50 Winner 2022 💜♠️ 26 | Ace & NB |
He/They |"
Alastair Campbell	Rest Is Politics	Video - YouTube	https://www.youtube.com/@restispolitics	alastaircampbell2.bsky.social	0	YES	Writer, strategist, co-presenter the U.K. No1 podcast The Rest Is Politics … love Britain hate Brexi
Alberto Cairo	Open Visualization Academy	Website	https://openvisualizationacademy.beehiiv.com	albertocairo.com	0	YES	"Designer, journalist, and professor.
Author of 'The Art of Insight' (2023) 'How Charts Lie' (2019), "
Alec Karakatsanis	Copaganda Newsletter	Newsletter - Substack	https://equalityalec.substack.com	equalityalec.bsky.social	0	YES	"founder, Civil Rights Corps

civil rights lawyer
author of usual cruelty (2019) and 
copaganda (2025"
Alessandra Ram	Good Luck Media	Podcast	https://www.goodluckmedia.co	alessandraram.bsky.social	0	YES	"journalist 
ceo @goodluckmedia.bsky.social"
Alex Dobrenko	Both Are True	Newsletter - Substack	https://botharetrue.substack.com	alexd23.bsky.social	0	YES	"Sinner saint no shame. Writer comedian guy. 

head of creative at www.sublime.app

head of writing a"
Alex Falcone	Alex Falcone	Video - Instagram	https://www.instagram.com/alexfalcone	alexfalcone.bsky.social	0	LIKELY	"🎤 Comedian, scam hunter, explainer of things.
✉️ Sign up for my free Fun Fact Friday newsletter:
htt"
Alex González Ormerod	The Mexico Political Economist	Social - LinkedIn	www.mxpe.org	alexgonzor.bsky.social	0	YES	"Editing The Mexico Political Economist—Mexican politics, policy, and markets for a global audience.
"
Alex H	A Map Nerd	Video - TikTok	https://www.tiktok.com/@map_nerd	llhallj.bsky.social	0	LIKELY	"Horrendous human, QA Lead in game dev, Twitch Affiliate, Actor

Don’t worry, I’ve never heard of me "
Alex Heath	Sources	Newsletter - Substack	https://sources.news	alexeheath.com	0	YES	writing sources.news, co-hosting the Access podcast
Alex Kantrowitz	Big Technology	Newsletter - Substack	https://www.bigtechnology.com	kantrowitz.bsky.social	0	YES	Hello Bluesky! I’m Alex Kantrowitz, host of Big Technology Podcast and author of Big Technology on S
Alex Konrad	Upstarts Media	Newsletter - Substack	https://www.upstartsmedia.com	alexrkonrad.bsky.social	0	YES	Founder and editor of @upstarts.bsky.social, a tech publication focused on the startup ecosystem. Pr
Alex Steffen	The Snap Forward	Newsletter - Substack	https://alexsteffen.substack.com	alexsteffen.bsky.social	0	YES	"Planetary foresight and personal climate strategies.

Courses: https://alexsteffen.thinkific.com/
Po"
Alexander C. Kaufman	FIELD NOTES	Newsletter - Substack	https://kaufman.substack.com	alexckaufman.bsky.social	0	YES	Reporter. I write about energy, climate, and geopolitics. I'm especially into nuclear power, mineral
Alexander Russo	The Grade	Newsletter - Substack	https://alexanderrusso.substack.com	alexanderrusso.bsky.social	0	YES	Founder @thegrade_ and many other things. Author: Stray Dogs, Saints, and Savors. London-born, Chica
Alexandra Stewart	Sassy Confetti	Video - TikTok	https://www.tiktok.com/@.sassyconfetti	alexandrastewart.bsky.social	0	LIKELY	Alexandra Stewart spends her days reading copiously and widely, researching random topics that she w
Alexios Mantzarlis	Indicator	Newsletter - Beehiiv	https://indicator.media	mantzarlis.com	0	LIKELY	"Tech, facts, and carbonara.

mantzarlis.com"
Ali Van Fleet	Ali Van Fleet	Video - TikTok	https://www.tiktok.com/@alivanfleet	alivanfleet.bsky.social	0	LIKELY	"Current grad student @TTU 
As seen on @weatherchannel & @pattrnsocial 📺 former meteorologist @KTVL @"
Alicia Kennedy	From the Desk of Alicia Kennedy	Newsletter (Substack)	https://www.aliciakennedy.news	aliciadkennedy.bsky.social	507	YES	Confirmed from brief
Alissa Walker	Torched LA	Newsletter - Ghost	https://www.torched.la	awalkerinla.bsky.social	0	YES	I'm a writer and a walker in LA. Tracking the city's megaevent progress at Torched. Co-host LA Podca
Aly Walansky	Aly Walansky	Video - Instagram	https://www.instagram.com/alywalansky	alywalansky.bsky.social	0	LIKELY	New York-based travel & food journalist, rated #1 food journalist in 2022 & top 10 journalist in 202
Amanda Informed	Amanda Informed	Video - TikTok	https://www.tiktok.com/@amandainformed	ammo88.bsky.social	0	LIKELY	"🚀 I design, build & enhance websites
💻 Webflow | Figma | HTML & CSS | Basic UI/UX
🔧 Fix • Update • O"
Amanda Shendruk	Not-Ship	Newsletter - Ghost	https://www.not-ship.com	ashendruk.com	0	YES	"https://www.not-ship.com/

Explaining the world through data and design • Newsletter: Not-Ship •   F"
Amelia	Emberwing	Social - BlueSky	https://bsky.app/profile/thatwitchmia.bsky.social	watsonameliaen.bsky.social	0	YES	"This is an account that crossposts from @watsonameliaEN on Twitter!
No affiliation with Hololive.
#a"
