handle,name,status,followers_count,posts_count,indexed_at,error_reason,fetched_at
aliciadkennedy.bsky.social,Alicia Kennedy,ok,614,718,2026-04-28T13:18:18.065Z,,2026-07-01T16:56:06.591681+00:00
andydehnart.com,Andy Dehnart,ok,27101,5372,2026-02-19T02:32:16.650Z,,2026-07-01T16:56:07.198946+00:00
caseymlewis.bsky.social,Casey Lewis,ok,20,1,2025-01-28T17:30:33.944Z,,2026-07-01T16:56:08.003573+00:00
caseynewton.bsky.social,Casey Newton,ok,283073,2561,2026-01-05T19:40:56.226Z,,2026-07-01T16:56:09.002676+00:00
chriscillizza.bsky.social,Chris Cillizza,ok,7100,1347,2024-11-13T22:36:37.089Z,,2026-07-01T16:56:09.804637+00:00
chrisgeidner.bsky.social,Chris Geidner,ok,321727,27830,2026-06-04T14:29:18.956Z,,2026-07-01T16:56:10.604062+00:00
craigsilverman.bsky.social,Craig Silverman,ok,68936,283,2025-05-19T20:40:25.739Z,,2026-07-01T16:56:11.206487+00:00
emorwee.bsky.social,Emily Atkin,ok,31178,623,2026-03-18T17:51:07.054Z,,2026-07-01T16:56:11.749865+00:00
ericnewcomer.bsky.social,Eric Newcomer,ok,426,6,2024-12-12T15:11:33.042Z,,2026-07-01T16:56:12.614663+00:00
erininthemorning.com,Erin Reed,ok,266713,7934,2026-04-07T04:04:54.151Z,,2026-07-01T16:56:13.420383+00:00
hunterh.bsky.social,Hunter Harris,ok,14402,58,2024-01-20T05:38:46.866Z,,2026-07-01T16:56:14.307456+00:00
jessicavalenti.bsky.social,Jessica Valenti,ok,103508,1107,2025-07-24T15:46:48.934Z,,2026-07-01T16:56:15.010335+00:00
juddlegum.bsky.social,Judd Legum,ok,418283,3191,2025-11-11T16:56:47.353Z,,2026-07-01T16:56:15.838725+00:00
kattenbarge.bsky.social,Kat Tenbarge,ok,178528,7276,2026-06-27T04:10:38.256Z,,2026-07-01T16:56:16.420928+00:00
kkjetelina.bsky.social,Katelyn Jetelina,ok,18598,123,2025-02-14T22:16:19.246Z,,2026-07-01T16:56:16.825254+00:00
kyla.bsky.social,Kyla Scanlon,ok,54626,110,2024-12-08T00:29:52.845Z,,2026-07-01T16:56:17.260270+00:00
kylewilsontharp.bsky.social,Kyle Tharp,ok,4013,275,2026-03-31T14:10:34.551Z,,2026-07-01T16:56:17.822897+00:00
marisakabas.bsky.social,Marisa Kabas,ok,237194,29821,2026-05-04T23:02:34.765Z,,2026-07-01T16:56:18.230338+00:00
mkbhd.mbdio.uk,Marques Brownlee,failed,,,,HTTP 400: Bad Request,2026-07-01T16:56:18.620755+00:00
mattbrown.bsky.social,Matt Brown,ok,21247,9372,2026-06-13T03:04:53.357Z,,2026-07-01T16:56:19.022183+00:00
mattkiser.bsky.social,Matt Kiser,ok,1207,11,2025-08-22T18:35:47.498Z,,2026-07-01T16:56:19.420151+00:00
maxread.info,Max Read,ok,13959,816,2026-05-17T10:40:16.356Z,,2026-07-01T16:56:19.826262+00:00
nathantankus.bsky.social,Nathan Tankus,ok,35208,4911,2026-06-30T15:06:21.641Z,,2026-07-01T16:56:20.233553+00:00
oliverdarcy.bsky.social,Oliver Darcy,ok,177099,1263,2024-11-25T19:25:38.345Z,,2026-07-01T16:56:20.576149+00:00
parkermolloy.com,Parker Molloy,ok,239411,25036,2026-06-25T19:16:26.160Z,,2026-07-01T16:56:20.924261+00:00
philedwardsinc.bsky.social,Phil Edwards,ok,791,265,2025-07-08T14:40:11.933Z,,2026-07-01T16:56:21.274335+00:00
ryanhatesthis.bsky.social,Ryan Broderick,ok,80996,974,2025-01-24T18:38:07.743Z,,2026-07-01T16:56:21.618807+00:00
taylorlorenz.bsky.social,Taylor Lorenz,ok,329412,7272,2026-01-25T23:31:07.846Z,,2026-07-01T16:56:21.968956+00:00
timkmak.bsky.social,Tim Mak,ok,36464,9407,2026-06-29T14:28:13.062Z,,2026-07-01T16:56:22.314101+00:00
atrupar.com,Aaron Rupar,ok,956160,30926,2026-07-01T11:45:56.521Z,,2026-07-01T16:56:22.672740+00:00
klasfeldreports.com,Adam Klasfeld,ok,127970,2968,2025-07-01T02:24:29.333Z,,2026-07-01T16:56:23.073153+00:00
adamjkucharski.bsky.social,Adam Kucharski,ok,27078,2062,2025-11-19T18:27:11.725Z,,2026-07-01T16:56:23.425431+00:00
adammockler.com,Adam Mockler,ok,188736,1514,2026-05-12T16:31:43.365Z,,2026-07-01T16:56:23.782899+00:00
adamtooze.bsky.social,Adam Tooze,ok,20184,859,2025-03-21T20:46:15.143Z,,2026-07-01T16:56:24.138605+00:00
nativeapprops.bsky.social,Adrienne Keene,ok,5563,23,2025-01-26T17:23:32.145Z,,2026-07-01T16:56:24.487359+00:00
alastaircampbell2.bsky.social,Alastair Campbell,ok,152687,810,2024-08-14T09:47:29.285Z,,2026-07-01T16:56:24.848646+00:00
albertocairo.com,Alberto Cairo,ok,11326,1384,2026-01-30T15:10:06.247Z,,2026-07-01T16:56:25.202654+00:00
equalityalec.bsky.social,Alec Karakatsanis,ok,19139,1618,2026-04-21T16:43:11.248Z,,2026-07-01T16:56:25.541833+00:00
alessandraram.bsky.social,Alessandra Ram,ok,14,3,2025-03-21T05:08:23.839Z,,2026-07-01T16:56:25.878912+00:00
alexd23.bsky.social,Alex Dobrenko,ok,886,238,2024-11-20T20:00:02.304Z,,2026-07-01T16:56:26.250677+00:00
alexeheath.com,Alex Heath,ok,39888,442,2025-10-29T03:47:30.645Z,,2026-07-01T16:56:26.590629+00:00
kantrowitz.bsky.social,Alex Kantrowitz,ok,7754,118,2024-01-20T05:44:12.297Z,,2026-07-01T16:56:26.957893+00:00
alexrkonrad.bsky.social,Alex Konrad,ok,12610,521,2026-05-30T16:43:50.658Z,,2026-07-01T16:56:27.348803+00:00
alexsteffen.bsky.social,Alex Steffen,ok,12506,30771,2026-05-03T18:11:12.867Z,,2026-07-01T16:56:27.838643+00:00
alexckaufman.bsky.social,Alexander C. Kaufman,ok,11531,1383,2025-08-15T01:34:43.497Z,,2026-07-01T16:56:28.185581+00:00
alexanderrusso.bsky.social,Alexander Russo,ok,404,116,2025-11-11T15:28:35.051Z,,2026-07-01T16:56:28.543077+00:00
awalkerinla.bsky.social,Alissa Walker,ok,27515,2831,2026-06-25T17:52:15.656Z,,2026-07-01T16:56:28.887466+00:00
ashendruk.com,Amanda Shendruk,ok,1107,259,2026-01-24T13:16:31.445Z,,2026-07-01T16:56:29.230454+00:00
thatwitchmia.bsky.social,Amelia,ok,5586,8466,2026-06-12T23:09:38.861Z,,2026-07-01T16:56:29.640473+00:00
amywestervelt.bsky.social,Amy Westervelt,ok,58439,2181,2026-06-24T16:51:28.666Z,,2026-07-01T16:56:29.993458+00:00
anderspucknielsen.dk,Anders Puck Nielsen,ok,30851,4694,2026-05-29T16:04:11.257Z,,2026-07-01T16:56:30.346541+00:00
andrewdessler.com,Andrew Dessler,ok,27038,10077,2025-09-06T15:55:27.898Z,,2026-07-01T16:56:30.688989+00:00
statmodeling.bsky.social,Andrew Gelman,ok,6271,1207,2024-04-04T01:16:39.709Z,,2026-07-01T16:56:31.074583+00:00
andrewgill.biz,Andrew Gill,ok,501,211,2025-01-28T11:53:52.344Z,,2026-07-01T16:56:31.414578+00:00
wordloaf.org,Andrew Janjigian,ok,5777,5908,2026-04-05T16:31:41.156Z,,2026-07-01T16:56:31.884334+00:00
amontalenti.bsky.social,Andrew Montalenti,ok,145,3,2026-03-01T17:37:48.260Z,,2026-07-01T16:56:32.233201+00:00
revkin.bsky.social,Andy Revkin,ok,18567,3141,2025-06-09T18:09:50.542Z,,2026-07-01T16:56:32.585433+00:00
angushervey.com,Angus Hervey,ok,2503,1110,2024-11-21T02:04:40.270Z,,2026-07-01T16:56:32.928109+00:00
anildash.com,Anil Dash,ok,100689,20404,2025-12-11T04:44:05.623Z,,2026-07-01T16:56:33.271162+00:00
annapujolmazzini.bsky.social,Anna Pujol-Mazzini,ok,30,18,2025-09-15T08:17:39.698Z,,2026-07-01T16:56:33.639070+00:00
annehelen.bsky.social,Anne Helen Petersen,ok,23710,325,2026-02-16T22:01:47.747Z,,2026-07-01T16:56:33.977560+00:00
anya1anya.bsky.social,Anya Kamenetz,ok,5773,1246,2025-10-09T01:46:12.650Z,,2026-07-01T16:56:34.315289+00:00
aridrennen.bsky.social,Ari Drennen,ok,33920,1741,2026-06-28T19:48:25.166Z,,2026-07-01T16:56:34.674956+00:00
ashleevance.bsky.social,Ashlee Vance,ok,379,26,2025-05-08T05:07:39.738Z,,2026-07-01T16:56:35.018350+00:00
austinkocher.com,Austin Kocher,ok,11015,4191,2026-05-17T16:42:46.559Z,,2026-07-01T16:56:35.358711+00:00
azipaybarah.bsky.social,Azi Paybarah,ok,7103,13,2026-05-13T17:15:49.859Z,,2026-07-01T16:56:35.712208+00:00
bjthehetheygay.ca,Baxstar Jonmarie Ferguson,ok,1805,1598,2026-04-06T15:12:10.945Z,,2026-07-01T16:56:36.059228+00:00
benwhitelaw.bsky.social,Ben Whitelaw,ok,5846,744,2024-12-19T06:32:37.542Z,,2026-07-01T16:56:36.416161+00:00
billbishop.bsky.social,Bill Bishop,ok,3683,85,2024-11-14T16:49:21.132Z,,2026-07-01T16:56:36.767435+00:00
calculatedrisk.bsky.social,Bill McBride,ok,49659,2958,2026-01-28T14:15:16.347Z,,2026-07-01T16:56:37.120748+00:00
billmckibben.bsky.social,Bill McKibben,ok,71737,23151,2024-11-08T18:21:48.380Z,,2026-07-01T16:56:37.467340+00:00
billspindle.bsky.social,Bill Spindle,ok,47,7,2025-08-16T15:02:23.297Z,,2026-07-01T16:56:37.814510+00:00
brettcooperrp.bsky.social,Brett Cooper,ok,66,2,2024-11-08T05:36:09.482Z,,2026-07-01T16:56:38.162777+00:00
brettkollmann.bsky.social,Brett Kollmann,ok,55258,547,2025-06-12T22:45:14.940Z,,2026-07-01T16:56:38.521621+00:00
bcmerchant.bsky.social,Brian Merchant,ok,107382,3269,2025-08-19T05:35:37.362Z,,2026-07-01T16:56:38.866212+00:00
brihreed.bsky.social,Brian Reed,ok,734,431,2026-06-25T22:39:12.758Z,,2026-07-01T16:56:39.203072+00:00
briantylercohen.bsky.social,Brian Tyler Cohen,ok,838968,2503,2026-06-08T19:54:29.657Z,,2026-07-01T16:56:39.540043+00:00
bryanranderson.bsky.social,Bryan Anderson,ok,1969,656,2025-11-26T04:43:31.622Z,,2026-07-01T16:56:39.894182+00:00
schotthappens.com,Bryan Schott,ok,10774,7458,2026-01-24T00:02:39.747Z,,2026-07-01T16:56:40.262694+00:00
caitoz.bsky.social,Caitlin Johnstone,ok,21823,1824,2025-11-10T13:23:33.851Z,,2026-07-01T16:56:40.624610+00:00
cmyeaton.bsky.social,Caitlin Rivers,ok,9657,314,2026-04-19T23:02:13.843Z,,2026-07-01T16:56:40.965093+00:00
chipmonkfunk.bsky.social,Caleb Hammer,ok,12,1,2025-12-02T00:40:58.825Z,,2026-07-01T16:56:41.325560+00:00
camrodriguez.bsky.social,Cam Rodriguez,ok,1797,1061,2026-06-26T05:34:44.656Z,,2026-07-01T16:56:41.668244+00:00
