name	bsky_handle	bsky_followers	primary_platform	primary_url	beat	geography	language	trustfnd_eligible	notes
Andrea Pitzer	andreapitzer.bsky.social	55733	Newsletter + Podcast	andreapitzer.com	Authoritarianism/History/Investigative	USA	en	YES	Veteran journalist and author (One Long Night: A Global History of Concentration Camps; Icebound). Independent podcast "Next Comes What" + "Degenerate Art" newsletter. Covers authoritarian history, resistance strategies. marisakabas+hamiltonnolan+mdelbosque networks. S9 Atlas-native.
Chris Nelder	chrisnelder.bsky.social	12890	Podcast	xenetwork.org/ets	Energy/Climate	USA	en	YES	Creator and Host of The Energy Transition Show (XE Network). Membership model: transcripts + member-only extras. Deep-dive expert interviews on global energy transition. mariannedhe+mdelbosque networks. S9 Atlas-native.
Arturo Dominguez	extremearturo.bsky.social	9493	Newsletter (Substack)	extremearturo.substack.com	Immigration/Latin America/Human Rights	USA	en	YES	"Decolonized Journalism" Substack newsletter with 8,000+ subscribers. Covers US politics, immigration, Cuba, Latin America, hate groups. Freelance: Unicorn Riot, The Nation, Capitol Press. Editor, Antagonist Magazine. ericblanc+mdelbosque networks. S9 Atlas-native.
J Escobedo Shepherd	jawnita.bsky.social	4754	Newsletter + Podcast	hearingthings.co	Music/Culture/Latinx	USA	en	YES	Xicana writer/editor. Co-founder of Hearing Things — independent subscription music/culture magazine founded by ex-Pitchfork writers, with newsletter + paid podcast. Flaming Hydra contributor. felipedlh+hamiltonnolan networks. S9 (promoted from S8 watchlist).
Tim Mak	timkmak.bsky.social	36172	Newsletter (Substack)	counteroffensive.news	War/Conflict/Ukraine	Ukraine/USA	en	YES	Fmr NPR investigative correspondent. Left NPR 2023 to launch The Counteroffensive (counteroffensive.news) — 142,000+ subscribers, Substack's largest international publication. Reporting on Russia-Ukraine war with team of 7 Kyiv-based journalists. Also runs Iran War Dispatches (iranwar.news). angryasianman+originalspin follows. S9 AAPI layer.
Wajahat Ali	wajali.bsky.social	303104	Newsletter (Substack)	thelefthook.substack.com	Politics/Race/Islam	USA	en	YES	Pakistani-American journalist, writer, playwright. Editor of The Left Hook Substack (thelefthook.substack.com). Co-hosts with others. Previously NYT, Washington Post, Al Jazeera, CNN. 303K Bluesky followers. angryasianman+originalspin follows. S9 AAPI layer.
Phil Yu	angryasianman.bsky.social	5735	Blog + Podcast	angryasianman.com	AAPI Media/Culture	USA	en	NO	Creator of Angry Asian Man (angryasianman.com), independent AAPI news/culture blog since 2001. Co-host They Call Us Bruce podcast. Peabody Award-winning. Author RISE (pop history of Asian America). AAPI media pioneer. S9 AAPI layer.
Jeff Yang	originalsp.in	22679	Podcast	bit.ly/listen2TCUB	AAPI Media/Culture	USA	en	NO	Cultural critic, journalist. Co-host They Call Us Bruce podcast w/ Phil Yu. Contributor Guardian US + NPR Pop Culture Happy Hour. Domain-based handle. AAPI media/culture beat. originalspin network. S9 AAPI layer.
Nithin Coca	nithincoca.com	3952	Newsletter (Ghost)	asia-undercovered.ghost.io	Asia/Environment/Human Rights	Global	en	YES	Asia-focused award-winning independent journalist. Runs Asia Undercovered newsletter (Ghost). Covers environment, climate, human rights, supply chains across Japan, Malaysia, Indonesia, Tibet. Substack grant recipient. angryasianman+originalspin follows. S9 AAPI layer.
Quincy Surasmith	quincetessence.bsky.social	2120	Podcast	asianamericana.com	AAPI Culture/History	USA	en	NO	Host and Producer of Asian Americana (asianamericana.com) — podcast about slices of distinctly Asian American culture and history. Actor, journalist. angryasianman+reappropriate follows. S9 AAPI layer.
