slug,creator_name,creator_channel,platform_primary,topic,tier,bsky_handle,bsky_display_name,bsky_followers,bsky_description,match_score,match_confidence,bsky_profile_url,reviewer_decision,notes
Amber McDaniel,Amber McDaniel,Sustainable Jungle,Website,Climate/Environment,1,amber-mcdaniel.bsky.social,Amber McDaniel,0,,6,HIGH,https://bsky.app/profile/amber-mcdaniel.bsky.social,,
amy-westervelt,Amy Westervelt,Drilled,Newsletter - Ghost,"Climate/Environment, Energy",1,amywestervelt.bsky.social,Amy Westervelt,0,"Investigative climate reporter. Ida Tarbell stan. Run Drilled.media, contrib lots of places. Writing a book on corporate",8,HIGH,https://bsky.app/profile/amywestervelt.bsky.social,,
andrew-sage,Andrew Sage,Andrewism,Video - YouTube,Politics,1,andrewsage.bsky.social,Andrew Sage (Andrewism),0,🇹🇹・solarpunk Ⓐ🏴・youtuber・artist・writer・he/him,6,HIGH,https://bsky.app/profile/andrewsage.bsky.social,,
angela-denker,Angela Denker,I'm Listening,Newsletter - Substack,Faith/Religion,1,angeladenker.bsky.social,Rev. Angela Denker,0,author of DISCIPLES OF WHITE JESUS March '25 | RED STATE CHRISTIANS '22 + '19 | https://angeladenker.substack.com | mom ,6,HIGH,https://bsky.app/profile/angeladenker.bsky.social,,
anna-fifield,Anna Fifield,Anna Fifield NZ,Newsletter - Substack,World,1,annafifield.bsky.social,Anna Fifield,0,Independent New Zealand journalist and foreign affairs analyst.,7,HIGH,https://bsky.app/profile/annafifield.bsky.social,,
betsy-ladyzhets,Betsy Ladyzhets,The Sick Times,Website,Health/Wellness,1,betsyladyzhets.bsky.social,betsy ladyzhets 😷,0,"editor/co-founder @thesicktimes.org | journalist covering Long COVID & related crises | she/her/🏳️‍🌈

email: betsy@thesi",6,HIGH,https://bsky.app/profile/betsyladyzhets.bsky.social,,
bill-mckibben,Bill McKibben,The Crucial Years,Newsletter - Substack,"Climate/Environment, Politics, Government Accountability, Activism",1,billmckibben.bsky.social,Bill McKibben,0,"Founder 350.org and Third Act, author The Crucial Years on substack https://billmckibben.substack.com/
Author of 21 book",6,HIGH,https://bsky.app/profile/billmckibben.bsky.social,,
brian-merchant,Brian Merchant,Blood in the Machine,Newsletter - Substack,Tech,1,bcmerchant.bsky.social,Brian Merchant,0,"author of Blood in the Machine, tech writer, luddite

newsletter: https://www.bloodinthemachine.com/

books: https://www",6,HIGH,https://bsky.app/profile/bcmerchant.bsky.social,,
bridget-todd,Bridget Todd,Bridget Todd,Social - Instagram,Tech,1,bridgettodd.bsky.social,Bridget Todd,0,"I make podcasts about tech, identity, and the internet.

Creator: There Are No Girls on the Internet podcast on iHeartRa",7,HIGH,https://bsky.app/profile/bridgettodd.bsky.social,,
britt-wray,Britt Wray,Unthinkable,Newsletter - Substack,Climate/Environment,1,brittwray.bsky.social,Britt Wray,0,"Researching the rise of climate distress and how to channel it for action and resilience.
Director of CIRCLE at Stanford",7,HIGH,https://bsky.app/profile/brittwray.bsky.social,,
